"id","label","label_en","country_id","country_name","population","postal_code","coords"
"Q12279351","Ευαγγελισμός Θεσσαλονίκης","Evangelismos","Q41","Greece","474","['572\xa000']","(40.695, 23.22)"
"Q12279591","Έξαρχος Γρεβενών","Exarchos","Q41","Greece","62","['511\xa000']","(40.16, 21.6317)"
"Q12280032","Ακροπόταμος Θεσσαλονίκης","Akropotamos","Q41","Greece","596","['570\xa011']","(40.84027777777778, 22.654166666666665)"
"Q12280586","Ζωοδόχος Πηγή Κοζάνης","Zoodochos Piyi, Kozani","Q41","Greece","3","['50150']","(40.39973, 22.08848)"
"Q12282586","Καστανάς Θεσσαλονίκης","Kastanas","Q41","Greece","630","['570\xa011']","(40.81916666666667, 22.65888888888889)"
"Q12282589","Δρύμη Ροδόπης","Drymi","Q41","Greece","302","['69100']","(41.218816666667, 25.574388888889)"
"Q12282646","Καρυές Πιερίας","Karyes","Q41","Greece","187","['601\xa000']","(40.238859, 22.293947)"
"Q12282963","Κυπαρίσσι Γρεβενών","Kyparissi","Q41","Greece","43","['51100']","(40.1367, 21.2267)"
"Q12283291","Κάτω Βυρσίνη Ροδόπης","Kato Vyrsini","Q41","Greece","77","['695\xa000']","(41.211188888889, 25.673930555556)"
"Q12284303","Λιθιά","Lithia","Q41","Greece","311","['520\xa052']","(40.52072, 21.41002)"
"Q12285072","Λοφίσκος Θεσσαλονίκης","Lofiskos, Thessaloniki","Q41","Greece","261","['570\xa002']","(40.7733, 23.2233)"
"Q12286520","Μεσόλογγος Κοζάνης","Mesolongos","Q41","Greece","40","['500\xa001']","(40.33027777777778, 21.247777777777777)"
